BA,NOM 1,NOM 2,Contact Magazine Debout,Président,ADRESSE 1,ADRESSE 2,CP,VILLE,TELEPHONE,MAIL,OUVERTURE
BA29,BANQUE ALIMENTAIRE ,DU FINISTERE,Nelly PERTUE,Pierre SPIETH,,47 AVENUE PIERRE MENDES-FRANCE,29000,QUIMPER,02 98 53 48 11,BA290@banquealimentaire.org,"du lundi au vendredi, le matin"
BA30,BANQUE ALIMENTAIRE ,DU GARD,Dominique DUBARRY,Jean-Luc BENOIT,MARCHE GARE,3214 ROUTE DE MONTPELLIER,30900,NÎMES,04 66 29 56 42,BA300@banquealimentaire.org,"du lundi au vendredi, le matin"
BA31,BANQUE ALIMENTAIRE ,DE TOULOUSE & SA REGION,"reorganisation en cours, a ne pas contacter",,,,,,,,
BA32,BANQUE ALIMENTAIRE ,DU GERS,Jean Charles FOUDRAL,Pierre BUFFO,,50 CHEMIN DE BARON,32000,AUCH,05 62 61 58 98,BA320@banquealimentaire.org,"du lundi au vendredi, le matin"
BA33,BANQUE ALIMENTAIRE ,DE BORDEAUX & GIRONDE,Jean-Pierre Berthet,Jean-François RUNEL BELLIARD,ZI ALFRED DANEY,15 RUE BOUGAINVILLE,33300,BORDEAUX NORD,05 56 43 10 63,BA330@banquealimentaire.org,"du lundi au vendredi, le matin"
BA34,BANQUE ALIMENTAIRE ,DE L'HERAULT,Dominique SIMON,Yves BOURGUE,,Zone de Fret Eurogare,34130,MAUGUIO,04 67 12 01 10,BA340@banquealimentaire.org,"du lundi au vendredi, le matin"
BA350,BANQUE ALIMENTAIRE ,DE SAINT MALO,Martine DERLIN,Renaud LAFFAILLE,ZI SUD ,2 RUE DU CLOS VERT - BP 14,35405,SAINT-MALO CEDEX,02 99 82 64 63,BA350@banquealimentaire.org,"du lundi au vendredi, le matin"
BA352,BANQUE ALIMENTAIRE ,DE RENNES,Jean Marc SURGET,Emmanuel de LONGEAUX,,3 RUE JEAN MARIE TULLOU,35740,PACE,02 23 35 17 30,BA352@banquealimentaire.org,"lundi AM, mardi au vendredi, le matin"
BA36,BANQUE ALIMENTAIRE ,DE L'INDRE,"Marie Françoise BAREILLE, Christine LAGACHE",Henri GAIGNAULT,,9 BOULEVARD D'ANVAUX,36000,CHATEAUROUX,02 54 22 64 28,BA360@banquealimentaire.org,"du lundi au vendredi, le matin"
BA37,BANQUE ALIMENTAIRE ,DE TOURAINE,"Françoise SOBRINO, Nicole BELUS",Bernard MIQUEL,,"47, RUE DES GRANDS MORTIERS",37700,SAINT-PIERRE DES CORPS,02 47 53 55 27,BA370@banquealimentaire.org,"du lundi au vendredi, le matin"
BA38,BANQUE ALIMENTAIRE ,DE L'ISERE,"Sylvain GERY, Etienne DURAND",Christian CHÉDRU,,4 RUE DE LA MALADIERE,38360,SASSENAGE,04 76 85 92 50,BA380@banquealimentaire.org,"du lundi au jeudi, le matin"
BA39,BANQUE ALIMENTAIRE ,DU JURA,"Sandrine MAIRE, Jean Pascal MINARO",Maryse JOHANN,ESPACE ASSOCIATIF,20 AVENUE EDOUARD HERRIOT,39300,CHAMPAGNOLE,03 84 52 60 48,BA390@banquealimentaire.org,"du lundi au vendredi, le matin"
BA40,BANQUE ALIMENTAIRE ,DES LANDES,"Andrée VIEUX, Jean Philippe PRUGNAUD, Sabine Jasmin",Frédéric PETIT,PLATEFORME SOCIALE,243 CHEMIN DE L'EVASION,40000,MONT-DE-MARSAN,05 58 75 68 08,BA400@banquealimentaire.org,"du lundi au vendredi, le matin"
BA41,BANQUE ALIMENTAIRE ,DU LOIR ET CHER,Annie ARNAUD,Françoise POISSON,,63 RUE ANDRE BOULLE,41000,BLOIS,02 54 78 75 02,BA410@banquealimentaire.org,"du lundi au vendredi, le matin"
BA42,BANQUE ALIMENTAIRE ,DE LA LOIRE,Narimen NOUAR,Gérard RIBEYRON,ZI DE MONTREYNAUD,23 RUE GUSTAVE DELORY,42000,SAINT-ETIENNE,04 77 91 11 61,BA420@banquealimentaire.org,"du lundi au vendredi, le matin"
BA44,BANQUE ALIMENTAIRE ,DE LOIRE ATLANTIQUE,Christian BARRE,Gérard GUEGLIO,,5 RUE RENE FONCK,44860 ,SAINT-AIGNAN DE GRAND LIEU,02 40 52 03 61,BA440@banquealimentaire.org,"du lundi au vendredi, le matin"
BA45,BANQUE ALIMENTAIRE ,DU LOIRET,David BERNIER,Monique FANTIN,PARC D'ACTIVITE D'INGRE,11 RUE LAVOISIER,45140,INGRE,02 38 43 12 90,BA450@banquealimentaire.org,"du lundi au vendredi, le matin"
BA46,BANQUE ALIMENTAIRE ,DU LOT,Jean Pierre CAVENNE,Francis NADAL,,ZA D'ENGLANDIERES,46000,CAHORS,05 65 20 21 49,BA460@banquealimentaire.org,"du lundi au vendredi, le matin"
BA47,BANQUE ALIMENTAIRE ,DU LOT ET GARONNE,Martine RIZZETTO,Jean-Pierre DUPRAT,,24 RUE PAUL VALERY,47200,MARMANDE,05 53 64 48 40,BA470@banquealimentaire.org,"du lundi au jeudi, le matin"
BA49,BANQUE ALIMENTAIRE ,DU MAINE ET LOIRE,Serge FLAMAND,Patrice HOUDBINE,LA CITE,58 BOULEVARD DU DOYENNE,49100,ANGERS,02 41 60 33 05,BA490@banquealimentaire.org,"du lundi au vendredi, le matin"
BA50,BANQUE ALIMENTAIRE ,DE LA MANCHE,Carine LEBATTEUX,Roland COUTARD,ZI DE LA CAPELLE,100 RUE LEON JOUHAUX,50000,SAINT-LO,02 33 77 60 60,BA500@banquealimentaire.org,"du lundi au vendredi, le matin"
BA51,BANQUE ALIMENTAIRE ,DE LA MARNE,Anne Catherine TRIARD,Gérard SIGNORET,ZI OUEST - LOT. EMILE DRUART,14 A RUE MAURICE HALBWACHS,51100,REIMS,03 26 08 18 47,BA510@banquealimentaire.org,"du lundi au vendredi, le matin"
BA52,BANQUE ALIMENTAIRE ,CHAMPAGNE SUD ET MEUSE,"Noelle PONT, Jean Luc GASPARD",Pascal CLAUSSE,,76 RUE ALFRED DE MUSSET,52100,SAINT DIZIER,03 25 56 05 88,BA520@banquealimentaire.org,"du lundi au vendredi, le matin"
BA53,BANQUE ALIMENTAIRE ,DE LA MAYENNE,Françoise JOUAULT,Maurice MASSON,,IMPASSE DE LONDRES,53000,LAVAL,02 43 56 41 03,BA530@banquealimentaire.org,"du lundi au vendredi, le matin"
BA54,BANQUE ALIMENTAIRE ,DE NANCY ET SA REGION,Rachel JAFRA,Geneviève PUPIL,MARCHE DE GROS,36 RUE JEAN MERMOZ,54500,VANDOEUVRE,03 83 51 69 59,BA540@banquealimentaire.org,"du lundi au vendredi, le matin"
BA56,BANQUE ALIMENTAIRE ,DU MORBIHAN,Béatrice DUMOULIÉ,Jean-François MAGNE,ZI DU PRAT,3 RUE DUTENOS LE VERGER,56000,VANNES,02 97 47 09 04,BA560@banquealimentaire.org,"du lundi au vendredi, le matin"
BA57,BANQUE ALIMENTAIRE ,DE LA MOSELLE,"Guy RAPT, Serge COLSON",Elisabeth DIDION,Z.I. DES DEUX FONTAINES,2 RUE GASTON RAMON,57050,METZ,03 87 63 71 45,BA570@banquealimentaire.org,"du lundi au vendredi, le matin"
BA59,BANQUE ALIMENTAIRE ,DU NORD,Pierre Willefert,Brigitte PARMENTIER,PORT FLUVIAL,rue du Général Koenig  - 10e rue - Bât. 28,59211,SANTES,03 20 93 93 93,BA590@banquealimentaire.org,"du lundi au vendredi, le matin"
BA60,BANQUE ALIMENTAIRE ,DE L'OISE,"Annie GOURDEAU, Charles CHAUFFIER, Daniel LENGLIN, Serge NATANSON",Danielle LELONG,,2 RUE DU BERNAGO,60200,COMPIEGNE,03 44 20 45 54,BA600@banquealimentaire.org,"du lundi au vendredi, le matin"
BA61,BANQUE ALIMENTAIRE ,DE L'ORNE,Liliane PISSON,Claude WEILL,,27 BD DE STRASBOURG,61000,ALENCON,02 33 27 28 56,BA610@banquealimentaire.org,"lundi, mecredi et jeudi, le matin"
BA62,BANQUE ALIMENTAIRE ,DU PAS-DE-CALAIS,"Patrick Pau,  Jean Pierre LECONTE",Christian CONDETTE,ZI DU CHATEAU,15 RUE DENIS PAPIN,62220,CARVIN,03 21 28 16 28,BA620@banquealimentaire.org,"du lundi au vendredi, le matin"
BA63,BANQUE ALIMENTAIRE ,AUVERGNE,"Joseph ALLES, Fabien MASSON",Christian TSCHANN,,50 RUE DU CHEVAL,63100,CLERMONT-FERRAND,04 73 25 17 17,BA630@banquealimentaire.org,"du lundi au vendredi, le matin"
BA640,BANQUE ALIMENTAIRE ,DU BEARN ET DE LA SOULE,"Geneviève BONNET, Maitena HITTE SEILLANT, Jean Bernard CASENAVE",Jean-Michel GREMAUX,,13 RUE DE L'ARTISANAT,64110,JURANCON,05 59 06 38 66,BA640@banquealimentaire.org,"du lundi au vendredi, le matin"
BA641,BANQUE ALIMENTAIRE ,DE BAYONNE ET DU PAYS BASQUE,"Philippe BONENFANT, Véronique DIEUZEIDE, Renée ABADIE, Danièle EMONET, Marie-France LOGEZ",François RIBETON,,11 RUE DE L'ADOUR,64100,BAYONNE,05 59 55 28 11,BA641@banquealimentaire.org,"du lundi au vendredi, le matin"
BA65,BANQUE ALIMENTAIRE ,DES HAUTES PYRENEES,Patrick Berdal,Patrick BERDAL,,4 RUE DE LA MAIRIE,65800,ORLEIX,05 62 38 07 07,BA650@banquealimentaire.org,"du lundi au vendredi, le matin"
BA66,BANQUE ALIMENTAIRE ,DES PYRENEES ORIENTALES,Philippe de VINZELLES,Philippe de VINZELLES,,16 CARRER DE LAS NOGUERES,66380,PIA,04 68 52 40 05,BA660@banquealimentaire.org,"du lundi au vendredi, le matin"
BA67,BANQUE ALIMENTAIRE ,DU BAS-RHIN,"Chantal CAPS, Coralie TIJOU, Albertine AGNIMEL",Freddy SARG,,98 RUE DE LA PLAINE DES BOUCHERS,67100,STRASBOURG MEINAU,03 88 40 30 40,BA670@banquealimentaire.org,"du lundi au vendredi, le matin"
BA68,BANQUE ALIMENTAIRE ,DU HAUT-RHIN,Etienne GAFANESCH,Fernand CLAUSS,CITE PARK GLUCK,9 ALLEE GLUCK,68200,MULHOUSE,03 89 42 77 77,BA680@banquealimentaire.org,"du lundi au vendredi, le matin"
BA69,BANQUE ALIMENTAIRE ,DU RHONE,Christiane Colomb,Patrick CHARVIN,,127 AVENUE FRANKLIN ROOSEVELT,69150,DECINES CHARPIEU,04 78 26 99 09,BA690@banquealimentaire.org,"du lundi au vendredi, le matin"
BA72,BANQUE ALIMENTAIRE ,DE LA SARTHE,Maryvonne THIEBAUT,Bernard AUFAUVRE,,128 AVENUE FELIX GENESLAY,72100,LE MANS,02 43 50 30 00,BA720@banquealimentaire.org,"du lundi au jeudi, le matin"
BA73,BANQUE ALIMENTAIRE ,DE SAVOIE,Guy BURLERAUX,Denis SUISSE-GUILLAUD,ZI LA CASSINIE,77 RUE DU DOCTEUR VERNIER,73000,CHAMBERY,04 79 96 01 21,BA730@banquealimentaire.org,"du lundi au vendredi, le matin"
BA74,BANQUE ALIMENTAIRE ,DE HAUTE SAVOIE,Patrice de LOZ,Gérard FRITSCH,,28 RUE DU VERNAND,74100,ANNEMASSE,09 66 94 25 42,BA740@banquealimentaire.org,"du lundi au vendredi, le matin"
BA760,BANQUE ALIMENTAIRE ,DE ROUEN ET SA REGION,"Pascal CATALANO, Martine BEN RAIS",Yves LIGOT,LES ARCHES DU CAILLY,165 RUE DU GENERAL DE GAULLE,76770,LE HOULME,02 35 08 44 04,BA760@banquealimentaire.org,"du lundi au vendredi, le matin"
BA766,BANQUE ALIMENTAIRE ,DE LA REGION HAVRAISE ET POINTE DE CAUX,Stephanie LEVASSEUR,Delio DESCARREGA,,170 boulevard Jules Durand,76600,LE HAVRE,02 35 24 00 82,BA766@banquealimentaire.org,"du lundi au vendredi, le matin"
BA79,BANQUE ALIMENTAIRE ,DES DEUX SEVRES,Ghislaine CERNON,Jean-Michel PÉROU,,46 BOULEVARD EDGAR QUINET,79200,PARTHENAY,05 49 95 54 26,BA790@banquealimentaire.org,"du lundi au vendredi, le matin"
BA80,BANQUE ALIMENTAIRE ,DE LA SOMME,Hervé DULIN,Christian BECUWE,16 avenue du Great Eastern,Pôle Jules Verne,80330,LONGUEAU,03 22 91 55 85,BA800@banquealimentaire.org,"du lundi au vendredi, le matin"
BA81,BANQUE ALIMENTAIRE ,DU TARN,Marie-Françoise FREICHE,Bernard CABROL,,6 RUE DENIS PAPIN,81160,SAINT-JUERY,05 63 49 04 15,BA810@banquealimentaire.org,"mardi et mercredi, le matin"
BA83,BANQUE ALIMENTAIRE ,DU VAR,Guy ARSAC,Brigitte KRAFT-DETOLLE,Z.A. LE POUVEREL,257 RUE DENIS PAPIN,83130,LA GARDE,04 94 61 23 88,BA830@banquealimentaire.org,"du lundi au vendredi, le matin"
BA84,BANQUE ALIMENTAIRE ,DU VAUCLUSE,Mireille CREISSON,Maïté GREGOIRE BRUCHET,,630 CHEMIN DE SAINT-PIERRE DE FRAISSE,84140,MONTFAVET,04 90 87 81 80,BA840@banquealimentaire.org,"du lundi au vendredi, le matin"
BA85,BANQUE ALIMENTAIRE ,DE VENDEE,Yvon GARNIER,Bernard METAY,,BOULEVARD SULLY (C/O SOFRICA),85000,LA ROCHE-SUR-YON,02 51 37 06 55,BA850@banquealimentaire.org,"du lundi au vendredi, le matin"
BA86,BANQUE ALIMENTAIRE ,DE LA VIENNE,"Christelle CASTELAIN, Mireille Kassab",François BROQUEREAU,,185 AVENUE DU 8 MAI 1945,86000,POITIERS,05 49 55 33 22,BA860@banquealimentaire.org,"du lundi au vendredi, le matin"
BA87,BANQUE ALIMENTAIRE ,DE LA HAUTE-VIENNE,"Olivier GARANT,  Naddy VERGNENEGRE",Mireille BRECHET,ZI ROMANET,9 RUE FERDINAND MALINVAUD,87000,LIMOGES,05 55 31 07 14,BA870@banquealimentaire.org,"du lundi au vendredi, le matin"
BA88,BANQUE ALIMENTAIRE ,DES VOSGES,Pierre STEFFENS,Gilbert FRANCOIS (par intérim),,1 RUE DE L'ECLUSE ,88190,GOLBEY,03 29 68 54 04,BA880@banquealimentaire.org,"du lundi au vendredi, le matin"
BA94,BANQUE ALIMENTAIRE ,DE PARIS ET D'ILE-DE-FRANCE,Marie Thérèse de KERIZOUET,Pierre RUBAN,,15 AVENUE JEANNE D'ARC,94117,ARCUEIL CEDEX,01 47 35 92 02,BA940@banquealimentaire.org,"du lundi au vendredi, le matin"
